layout_name,sequence,group_frequency,word_count,words
qwerty_derived,8-3,15742682683,2,"[[""of"", 13151942776], [""or"", 2590739907]]"
qwerty_derived,7-3,4005102461,2,"[[""it"", 2813163874], [""if"", 1191938587]]"
qwerty_derived,0-6,2094702887,2,"[[""an"", 1518266684], [""am"", 576436203]]"
qwerty_derived,8-6-3,1744896163,2,"[[""our"", 998757982], [""out"", 746138181]]"
qwerty_derived,6-2,1412033647,2,"[[""he"", 842847219], [""me"", 569186428]]"
qwerty_derived,3-7-6-2,1410748608,2,"[[""time"", 908705570], [""find"", 502043038]]"
qwerty_derived,2,1189709409,2,"[[""c"", 596623239], [""e"", 593086170]]"
qwerty_derived,6-8-1,1183235875,2,"[[""now"", 611387736], [""how"", 571848139]]"
random_seed_42,3-5-4,13743776147,2,"[[""and"", 12997637966], [""out"", 746138181]]"
random_seed_42,4-3,13048843741,2,"[[""to"", 12136980858], [""do"", 911862883]]"
random_seed_42,3-5,5268689883,2,"[[""on"", 3750423199], [""an"", 1518266684]]"
random_seed_42,3-1,2823867943,2,"[[""as"", 2247431740], [""am"", 576436203]]"
random_seed_42,1-3-1-9,1825681650,2,"[[""home"", 1276852170], [""some"", 548829480]]"
random_seed_42,1-9,1412033647,2,"[[""he"", 842847219], [""me"", 569186428]]"
frequency_static,3-5,16902365975,2,"[[""of"", 13151942776], [""on"", 3750423199]]"
frequency_static,4-5,9661343558,2,"[[""in"", 8469404971], [""if"", 1191938587]]"
frequency_static,2-6,2823867943,2,"[[""as"", 2247431740], [""am"", 576436203]]"
frequency_corpus,9-2,3789386074,2,"[[""be"", 2398724162], [""we"", 1390661912]]"
frequency_corpus,8-1,1573672442,2,"[[""do"", 911862883], [""so"", 661809559]]"
frequency_corpus,3-6,1181013688,2,"[[""pm"", 604577485], [""am"", 576436203]]"
